lemma	translation	rel	p-value
مَجلِس	council,board,Majlis	attr	5.73E-74
عَدَم	absence_of,lack_of,non_-	attr	5.62E-72
وَزِير	minister	attr	3.59E-70
رَئِيس	president,head,chairman	attr	1.24E-57
بَعض	some,several	attr	7.15E-52
سِعر	price,rate	attr	3.94E-46
عَمَلِيَّة	operation,mission,process	attr	3.91E-42
كُلّ	every,all,each,whole,entirety	attr	6.06E-39
إِعَادَة	return,repetition,re_-_(_doing_)	attr	1.15E-38
حَجم	volume,size	attr	6.72E-38
رَفع	raising,lifting,increasing	attr	4.36E-37
إِقَامَة	residency,setting_up	attr	2.05E-34
أَجل	for_sake_of,because_of	attr	3.26E-32
رَجُل	man,people	attr	1.78E-31
ضَرُورَة	necessity,need,imperative	attr	6.54E-31
سَبَب	reason,cause	attr	1.25E-28
تَنفِيذ	implementation,execution,carrying_out	attr	2.24E-26
وِزَارَة	ministry	attr	2.7E-26
زِيَادَة	increase,addition	attr	3.52E-26
مَجَال	area,field,arena,context	attr	3.21E-25
اِتِّخَاذ	taking,adoption	attr	8.07E-24
وَقف	stopping,ceasing	attr	1.14E-22
نِهَايَة	end,termination	attr	1.45E-22
تَوفِير	provision,furnishing	attr	2.16E-21
مَنع	prevention,interdiction	attr	3.87E-21
اِرتِفَاع	rise,increase,elevation	attr	1.37E-20
إِطَار	framework,context	attr	2.08E-20
خَفض	lowering,decreasing,reduction	attr	2.83E-20
وُجُود	presence,existence	attr	4.86E-20
إِحدَى	one,someone	attr	9.31E-20
تَقدِيم	offering,presenting,submitting,offer,bid,service	attr	2.18E-19
مُعَدَّل	average,rate,mean	attr	3.12E-19
إِجمَالِيّ	total,full_amount,totality	attr	8.71E-19
تَحدِيد	delimitation,specification,definition	attr	2.32E-18
عُضو	member	attr	5.13E-17
اِستِمرَار	continuation,continuity	attr	7.37E-17
إِنشَاء	construction,installation;establishing,setting_up,founding	attr	1.45E-16
تَشكِيل	formation,composition,constitution	attr	1.55E-16
تَطوِير	development,advancement,promotion	attr	1.86E-16
مُكَافَحَة	confrontation,battle	attr	5.85E-16
